City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
Bubaque,11.28,-15.83,80.24,84,100,15.3,GW,1594674245
Camocim,-2.9,-40.84,80.69,66,91,13.71,BR,1594674557
Itarema,-2.92,-39.92,77.94,71,58,14.2,BR,1594674557
Champerico,14.3,-91.92,93.2,49,40,9.17,GT,1594674558
Rāzole,16.48,81.83,82.42,81,100,6.82,IN,1594674558
Gejiu,23.31,103.16,55.22,100,97,1.34,CN,1594674558
Aasiaat,68.71,-52.87,39.36,92,90,9.75,GL,1594674559
San Isidro,-12.12,-77.05,62.6,82,90,4.7,PE,1594674559
San Miguel de Cozumel,20.51,-86.95,89.6,59,5,3.36,MX,1594674560
Saint Andrews,34.05,-81.13,97.0,46,40,8.05,US,1594674560
Mollendo,-17.02,-72.01,63.77,69,7,6.64,PE,1594674560
Santa Marta de Tormes,40.95,-5.63,79.0,41,0,10.29,ES,1594674561
Nyurba,63.28,118.33,64.18,81,25,2.28,RU,1594674190
Kropotkin,45.44,40.58,67.46,92,100,8.16,RU,1594674562
Erzin,36.96,36.2,79.0,87,34,1.23,TR,1594674232
Siavonga,-16.54,28.71,65.35,53,0,3.53,ZM,1594674562
Kamloops,50.67,-120.32,71.6,28,40,8.05,CA,1594674563
Basco,20.45,121.97,83.73,80,37,6.98,PH,1594674274
Karakol,42.49,78.39,56.17,48,89,1.95,KG,1594674563
Mahon,39.89,4.27,73.4,78,0,10.29,ES,1594674296
Antropovo,58.4,43.01,63.0,97,100,3.78,RU,1594674564
Kajaani,64.23,27.73,51.8,93,75,2.24,FI,1594674565
Srednekolymsk,67.45,153.68,59.05,52,0,9.73,RU,1594674253
Chapleau,47.84,-83.4,73.4,40,40,4.7,CA,1594674565
Ust-Tsilma,65.44,52.15,52.09,74,11,4.34,RU,1594674566
Pringsewu,-5.36,104.97,72.66,94,96,1.74,ID,1594674566
Matamoros,25.53,-103.25,98.6,14,75,13.87,MX,1594674568
Bandarbeyla,9.49,50.81,78.46,77,54,30.89,SO,1594674047
Grand-Santi,4.25,-54.38,80.26,90,0,0.81,GF,1594674568
Zhigansk,66.77,123.37,60.13,81,3,4.43,RU,1594674300
Namatanai,-3.67,152.43,79.18,81,100,5.23,PG,1594674569
Mogadishu,2.04,45.34,77.4,84,83,15.7,SO,1594674570
Bexhill,-28.77,153.35,48.0,75,0,13.87,AU,1594674570
Pouébo,-20.4,164.57,70.29,78,100,10.67,NC,1594674570
São Gabriel da Cachoeira,-0.13,-67.09,82.98,78,69,2.17,BR,1594674011
Guerrero Negro,27.98,-114.06,85.53,34,2,18.81,MX,1594674181
Saint-Joseph,-21.37,55.62,68.0,72,19,5.82,RE,1594674178
Skjervøy,70.03,20.97,55.4,87,75,4.7,NO,1594674572
Shirvan,39.95,48.9,76.3,79,24,2.26,AZ,1594674572
Ketchikan,55.34,-131.65,59.0,77,90,11.41,US,1594674573
Serebryanyy Bor,56.8,124.8,66.79,80,35,1.79,RU,1594674573
Mahabalipuram,12.63,80.17,84.2,89,40,6.93,IN,1594674573
Ballina,-28.87,153.57,50.0,66,0,12.75,AU,1594674574
San Miguel de Tucumán,-26.82,-65.22,64.4,48,0,3.36,AR,1594674196
Duminichi,53.93,35.11,57.96,88,100,8.01,RU,1594674574
Safaga,26.73,33.94,87.8,23,0,5.82,EG,1594674575
Martapura,-3.42,114.85,75.2,100,20,2.24,ID,1594674575
Tsimmerbude,54.67,20.13,57.2,87,75,6.71,RU,1594674228
Gao,16.64,1.64,96.37,27,47,13.62,ML,1594674188
Petrochóri,41.12,24.83,73.4,73,75,6.93,GR,1594674576
Kamen'-Rybolov,44.75,132.04,61.03,88,0,3.85,RU,1594674577
Vardø,70.37,31.11,48.2,100,90,6.93,NO,1594674194
Longyan,25.11,117.02,75.51,76,49,1.03,CN,1594674577
Vieques,18.43,-65.83,87.8,74,75,18.34,PR,1594674578
Boende,-0.22,20.87,72.46,90,100,1.97,CD,1594674499
Bereket,39.24,55.52,83.55,38,22,6.2,TM,1594674579
Kuah,6.33,99.84,77.0,88,20,2.24,MY,1594674532
Steamboat Springs,40.48,-106.83,84.2,43,75,5.82,US,1594674375
Dudinka,69.41,86.18,53.6,93,75,4.47,RU,1594674581
Garissa,-0.45,39.64,76.06,68,91,22.17,KE,1594674581
Masallātah,32.62,14.0,71.53,86,0,3.56,LY,1594674582
Victor Harbor,-35.57,138.62,41.0,94,0,3.06,AU,1594674566
Harlingen,26.19,-97.7,102.2,31,1,17.22,US,1594674466
Springdale,36.19,-94.13,78.8,78,75,10.29,US,1594674377
Bosaso,11.28,49.18,93.52,42,70,23.17,SO,1594674583
Praia da Vitória,38.73,-27.07,71.6,68,75,12.33,PT,1594674585
Arlit,18.74,7.39,96.51,24,100,5.14,NE,1594674585
Stromness,58.97,-3.3,54.0,93,100,23.04,GB,1594674586
Yerofey Pavlovich,53.97,121.97,68.72,63,59,2.17,RU,1594674586
Ciudad Río Bravo,25.98,-98.1,102.2,29,5,11.41,MX,1594674587
Dicabisagan,17.08,122.42,78.03,82,100,6.46,PH,1594674302
Saint Lawrence,36.06,14.2,77.0,88,20,4.7,MT,1594674587
Jacmel,18.23,-72.53,91.4,59,20,11.41,HT,1594674588
Uyemskiy,64.47,40.85,59.0,87,40,2.24,RU,1594674588
Vyaz'ma,55.21,34.3,53.01,97,100,7.92,RU,1594674589
Estelle,29.85,-90.11,97.0,50,1,8.05,US,1594674403
Caravelas,-17.71,-39.25,72.68,86,0,4.7,BR,1594674589
Bima,-8.47,118.72,72.55,89,5,3.8,ID,1594674590
Fort-Shevchenko,44.51,50.26,81.16,61,0,2.68,KZ,1594674194
Algiers,36.75,3.04,75.2,88,40,11.41,DZ,1594674483
Makakilo City,21.35,-158.09,82.4,58,75,9.17,US,1594674235
Ust-Nera,64.57,143.2,66.96,70,100,7.05,RU,1594674591
Solginskiy,61.05,41.34,55.56,97,100,6.02,RU,1594674592
Russell,32.35,-85.2,91.4,49,1,9.17,US,1594674592
Cairns,-16.92,145.77,66.2,37,45,12.75,AU,1594674320
Kurunegala,7.49,80.36,80.6,100,75,4.7,LK,1594674593
Saint Anthony,45.02,-93.22,87.01,45,20,19.46,US,1594674593
San Miguel,13.48,-88.18,93.2,52,0,2.24,SV,1594674314
Paragominas,-2.97,-47.48,81.59,70,43,2.89,BR,1594674594
Robertsport,6.75,-11.37,76.98,86,100,15.73,LR,1594674594
Jiuquan,39.74,98.52,65.52,48,0,1.25,CN,1594674595
Mosquera,4.71,-74.23,62.6,59,40,10.29,CO,1594674385
Wanning,18.8,110.4,79.57,89,63,7.23,CN,1594674196
Borskoye,53.03,51.72,77.02,57,1,11.95,RU,1594674596
Salalah,17.02,54.09,82.4,94,90,3.36,OM,1594674290
Lorengau,-2.02,147.27,80.98,74,82,2.82,PG,1594674248
College,64.86,-147.8,60.8,77,90,4.7,US,1594674597
Fukuechō,32.69,128.84,75.13,86,100,22.68,JP,1594674597
Maraã,-1.83,-65.37,86.41,64,4,1.66,BR,1594674598
Vanavara,60.34,102.28,58.15,83,4,3.02,RU,1594674599
Uarini,-2.99,-65.11,87.8,70,20,3.36,BR,1594674600
Saint-Pierre,-21.34,55.48,68.0,72,0,5.82,RE,1594674600
Kensington,-33.92,151.22,59.0,87,75,35.57,AU,1594674600
Berlevåg,70.86,29.09,46.4,87,75,4.7,NO,1594674192
Dikson,73.51,80.55,39.33,98,100,14.0,RU,1594674133
Samarai,-10.62,150.67,78.48,89,96,13.2,PG,1594674560
Kautokeino,69.01,23.04,50.54,72,3,9.44,NO,1594674602
Santa Quitéria do Maranhão,-3.52,-42.55,79.45,71,97,1.61,BR,1594674602
Papetoai,-17.5,-149.87,80.6,74,75,18.34,PF,1594674603
Turan,16.07,108.22,78.8,88,20,2.24,VN,1594674263
Bohuslav,49.55,30.87,53.62,87,12,10.29,UA,1594674604
Manokwari,-0.87,134.08,79.23,72,100,4.72,ID,1594674604
Dubbo,-32.25,148.62,42.8,100,90,8.05,AU,1594674604
Brae,60.4,-1.35,53.6,93,98,8.05,GB,1594673951
Turukhansk,65.82,87.98,53.87,94,76,12.8,RU,1594674605
Tilichiki,60.47,166.1,51.64,93,99,5.68,RU,1594674258
Sirte,31.21,16.59,76.59,85,0,10.54,LY,1594674250
Derzhavīnsk,51.1,66.32,68.25,54,0,6.96,KZ,1594674234
Henderson,36.04,-114.98,107.6,12,1,17.22,US,1594674420
Los Llanos de Aridane,28.66,-17.92,71.6,78,90,17.22,ES,1594674487
Alihe,50.57,123.72,64.9,70,65,1.59,CN,1594674100
Monrovia,6.3,-10.8,77.0,94,75,4.7,LR,1594674596
Kachug,53.96,105.88,60.57,87,0,1.34,RU,1594674611
Mehamn,71.04,27.85,46.4,81,90,5.82,NO,1594674611
Sekoma,-24.4,23.88,46.63,43,0,7.43,BW,1594674612
Pangai,-19.8,-174.35,75.2,73,75,17.22,TO,1594674612
Kutum,14.2,24.67,86.29,26,74,2.51,SD,1594674195
Harbour Breton,47.48,-55.8,61.36,93,62,9.37,CA,1594674613
Geraldton,-28.77,114.6,64.4,82,75,18.34,AU,1594674257
Lianzhou,24.78,112.38,75.99,86,44,0.87,CN,1594674615
Cañita,9.21,-78.88,78.8,94,75,5.82,PA,1594674617
Lichinga,-13.31,35.24,52.68,89,0,4.23,MZ,1594674617
Tegul'det,57.31,88.17,58.19,92,84,3.38,RU,1594674617
Nikol'sk,53.72,46.07,72.09,79,100,7.67,RU,1594674618
Ust-Maya,60.42,134.53,67.91,88,99,0.76,RU,1594674618
Verkhoyansk,67.54,133.38,61.74,71,97,5.17,RU,1594674619
Carballo,43.21,-8.69,64.4,82,3,5.82,ES,1594674447
Coihueco,-36.62,-71.83,57.2,76,0,8.05,CL,1594674619
Mirny,62.54,113.96,55.4,100,20,4.47,RU,1594674620
Bukama,-9.2,25.85,73.08,32,0,1.9,CD,1594674620
West Wendover,40.74,-114.07,93.2,9,1,11.41,US,1594674621
Kirkwall,58.98,-2.96,54.0,93,85,23.04,GB,1594674622
Fort Dodge,42.5,-94.17,86.0,55,40,14.99,US,1594674623
Am Timan,11.03,20.28,73.94,85,88,6.33,TD,1594674623
Broken Hill,-31.95,141.43,37.4,93,0,2.24,AU,1594674624
Katobu,-4.94,122.53,74.7,88,18,7.27,ID,1594674624
Ubari,26.59,12.78,84.2,15,0,10.71,LY,1594674624
Zhangye,38.93,100.45,71.08,47,64,2.21,CN,1594674276
Gazimurskiy Zavod,51.55,118.33,61.09,88,97,2.19,RU,1594674625
Harper,4.38,-7.72,76.05,82,100,12.08,LR,1594674626
Nador,35.17,-2.93,75.2,88,0,3.36,MA,1594674626
Sulangan,11.14,123.72,84.18,72,100,4.85,PH,1594674223
Sakakah,29.97,40.21,93.2,13,0,11.41,SA,1594674627
Vélingara,13.15,-14.12,84.33,65,96,5.93,SN,1594674627
Sidi Ali,36.1,0.42,72.18,77,0,9.15,DZ,1594674282
Zabaykal'sk,49.63,117.32,66.27,80,100,2.93,RU,1594674628
Lagoa,39.05,-27.98,69.17,81,12,13.78,PT,1594674020
Anchorage,61.22,-149.9,64.99,45,20,9.17,US,1594674343
Sisimiut,66.94,-53.67,45.39,80,59,16.22,GL,1594674629
Barra do Garças,-15.89,-52.26,93.2,28,20,2.24,BR,1594674629
Bago,17.34,96.48,77.0,100,90,4.7,MM,1594674630
Smiltene,57.42,25.9,55.0,87,0,4.16,LV,1594674630
Kudahuvadhoo,2.67,72.89,84.2,69,44,6.51,MV,1594674630
La Ronge,55.1,-105.28,68.0,52,75,17.22,CA,1594674631
São José da Coroa Grande,-8.9,-35.15,75.7,79,6,5.14,BR,1594674631
Guadalajara,20.67,-103.33,88.0,37,40,2.8,MX,1594674589
Poya,-21.35,165.15,69.21,73,99,7.05,NC,1594674632
Kloulklubed,7.04,134.26,75.2,94,40,4.7,PW,1594674270
Sur,22.57,59.53,83.53,71,0,14.81,OM,1594674037
Nhulunbuy,-12.23,136.77,73.4,64,95,13.87,AU,1594674633
Zliten,32.47,14.57,75.63,83,0,5.17,LY,1594674432
Bonnyville,54.27,-110.73,57.2,93,90,12.75,CA,1594674634
Manggar,-2.88,108.27,80.87,84,100,11.9,ID,1594674634
